dt,zid_oktmo,tid,gender,age,customers_cnt_home,customers_cnt_work,adm8_municipal_OKTMO_NAME
2016-02-01,11605000,Metropolis,1,1,4,4,Академическое
2016-02-01,11654000,Metropolis,2,2,4,4,Академическое
2016-02-01,11730000,Himki,2,2,4,4,Академическое
2016-02-01,12605000,Shuka,2,2,2,2,Академическое
2016-02-01,12701000,Himki,1,2,2,2,Академическое
2016-02-01,12701000,Shuka,1,2,2,2,Академическое
2016-02-01,14610000,Shuka,1,3,5,5,Академическое
2016-02-01,14640000,Himki,1,4,5,,Академическое
2016-02-01,14658000,Shuka,2,3,5,5,Академическое
2016-02-01,14740000,Metropolis,2,4,5,5,Академическое
2016-02-01,15626000,Shuka,2,2,5,5,Академическое
2016-02-01,15701000,Himki,1,2,5,5,Академическое
2016-02-01,15701000,Himki,2,2,5,5,Академическое
2016-02-01,15701000,Himki,2,4,5,5,Академическое
2016-02-01,1633000,Shuka,1,2,4,4,Академическое
2016-02-01,17605000,Himki,1,3,4,4,Академическое
2016-02-01,17640000,Metropolis,2,2,4,,Академическое
2016-02-01,17701000,Metropolis,2,3,4,4,Академическое
2016-02-01,17720000,Metropolis,2,3,4,4,Академическое
2016-02-01,17725000,Shuka,1,4,4,4,Академическое
2016-02-01,18618000,Shuka,1,3,6,6,Академическое
2016-02-01,18618000,Shuka,1,4,3,3,Академическое
2016-02-01,18626000,Shuka,1,3,3,,Академическое
2016-02-01,18645000,Metropolis,1,3,3,3,Академическое
2016-02-01,18654000,Metropolis,1,3,3,3,Академическое
2016-02-01,18701000,Himki,1,2,3,3,Академическое
2016-02-01,18701000,Himki,1,4,3,3,Академическое
2016-02-01,18701000,Himki,2,2,3,3,Академическое
2016-02-01,18701000,Himki,2,4,3,3,Академическое
2016-02-01,18701000,Metropolis,1,2,3,3,Академическое
2016-02-01,18701000,Metropolis,2,2,3,3,Академическое
2016-02-01,18710000,Himki,2,4,3,3,Академическое
2016-02-01,18710000,Metropolis,2,2,3,3,Академическое
2016-02-01,18715000,Metropolis,1,4,3,3,Академическое
2016-02-01,19620000,Himki,2,2,3,,Академическое
2016-02-01,19622000,Metropolis,2,2,3,3,Академическое
2016-02-01,19701000,Metropolis,2,2,3,3,Академическое
2016-02-01,19730000,Metropolis,1,2,3,3,Академическое
2016-02-01,20613000,Himki,1,2,4,4,Академическое
2016-02-01,20615000,Himki,2,1,4,4,Академическое
2016-02-01,20701000,Himki,1,2,4,4,Академическое
2016-02-01,20701000,Himki,1,3,4,4,Академическое
2016-02-01,20701000,Metropolis,1,1,4,4,Академическое
2016-02-01,22605000,Metropolis,2,2,4,4,Академическое
2016-02-01,22631000,Shuka,2,3,4,,Академическое
2016-02-01,22647000,Himki,1,3,4,,Академическое
2016-02-01,22701000,Himki,1,1,4,4,Академическое
2016-02-01,22701000,Himki,2,2,4,4,Академическое
2016-02-01,24601000,Metropolis,1,2,3,3,Академическое
2016-02-01,24620000,Metropolis,2,4,3,3,Академическое
2016-02-01,24701000,Shuka,1,4,3,,Академическое
2016-02-01,24711000,Metropolis,1,2,3,,Академическое
2016-02-01,27701000,Himki,1,2,7,,Академическое
2016-02-01,27701000,Metropolis,1,2,7,7,Академическое
2016-02-01,28604000,Shuka,1,2,5,5,Академическое
2016-02-01,28612000,Metropolis,1,3,5,,Академическое
2016-02-01,28620000,Himki,1,3,5,,Академическое
2016-02-01,28622000,Metropolis,1,2,5,,Академическое
2016-02-01,28628000,Metropolis,2,3,5,5,Академическое
2016-02-01,28630000,Himki,1,2,10,13,Академическое
2016-02-01,28630000,Metropolis,2,2,5,5,Академическое
2016-02-01,28630000,Shuka,1,2,5,12,Академическое
2016-02-01,28634000,Himki,2,2,5,5,Академическое
2016-02-01,28701000,Himki,1,3,5,10,Академическое
2016-02-01,28701000,Himki,1,4,5,5,Академическое
2016-02-01,28701000,Himki,2,2,5,5,Академическое
2016-02-01,28701000,Himki,2,3,15,10,Академическое
2016-02-01,28701000,Metropolis,1,2,10,,Академическое
2016-02-01,28701000,Metropolis,1,3,5,9,Академическое
2016-02-01,28701000,Shuka,1,3,5,5,Академическое
2016-02-01,28701000,Shuka,2,2,5,5,Академическое
2016-02-01,28714000,Himki,1,2,5,5,Академическое
2016-02-01,28714000,Shuka,2,3,5,,Академическое
2016-02-01,28726000,Shuka,2,2,5,5,Академическое
2016-02-01,29610000,Shuka,1,2,5,5,Академическое
2016-02-01,29615000,Himki,1,2,5,5,Академическое
2016-02-01,29623000,Metropolis,1,3,5,,Академическое
2016-02-01,29701000,Himki,1,1,5,5,Академическое
2016-02-01,29701000,Metropolis,1,1,5,5,Академическое
2016-02-01,29701000,Shuka,1,2,5,5,Академическое
2016-02-01,29715000,Shuka,1,2,5,5,Академическое
2016-02-01,32731000,Metropolis,1,3,6,6,Академическое
2016-02-01,33616000,Metropolis,2,3,4,4,Академическое
2016-02-01,33628000,Shuka,2,2,4,,Академическое
2016-02-01,33701000,Himki,1,3,4,4,Академическое
2016-02-01,33701000,Himki,2,2,9,4,Академическое
