_u1.oktmo_code,_u1.osm_name,_u1.region_code
10605000,Архаринский район,AMU
10608000,Белогорский район,AMU
10611000,Благовещенский район,AMU
10615000,Бурейский район,AMU
10621000,Завитинский район,AMU
10625000,Зейский район,AMU
10628000,Ивановский район,AMU
10630000,Константиновский район,AMU
10631000,Магдагачинский район,AMU
10632000,Мазановский район,AMU
10635000,Михайловский район,AMU
10638000,Октябрьский район,AMU
10640000,Ромненский район,AMU
10642000,Свободненский район,AMU
10645000,Селемджинский район,AMU
10647000,Серышевский район,AMU
10649000,Сковородинский район,AMU
10651000,Тамбовский район,AMU
10654000,Тындинский район,AMU
10655000,Шимановский район,AMU
10701000,Благовещенск,AMU
10710000,Белогорск,AMU
10712000,Зея,AMU
10720000,Райчихинск,AMU
10730000,Свободный,AMU
10732000,Тында,AMU
10740000,Шимановск,AMU
10770000,Углегорск (ЗАТО),AMU
10775000,Прогресс,AMU
11605000,Вельский район,ARH
11608000,Верхнетоемский район,ARH
11611000,Вилегодский район,ARH
11614000,Виноградовский район,ARH
11618000,Каргопольский район,ARH
11622000,Коношский район,ARH
11627000,Котласский район,ARH
11630000,Красноборский район,ARH
11635000,Ленский район,ARH
11638000,Лешуконский район,ARH
11642000,Мезенский район,ARH
11644000,Няндомский район,ARH
11646000,Онежский район,ARH
11648000,Пинежский район,ARH
11650000,Плесецкий район,ARH
11652000,Приморский район,ARH
11654000,Устьянский район,ARH
11656000,Холмогорский район,ARH
11658000,Шенкурский район,ARH
11701000,Архангельск,ARH
11708000,Коряжма,ARH
11710000,Котлас,ARH
11712000,Новая Земля,ARH
11715000,Новодвинск,ARH
11725000,Мирный,ARH
11730000,Северодвинск,ARH
11811000,Заполярный район,NEN
11851000,Нарьян-Мар,NEN
12605000,Ахтубинский район,AST
12610000,Володарский район,AST
12615000,Енотаевский район,AST
12620000,Икрянинский район,AST
12625000,Камызякский район,AST
12630000,Красноярский район,AST
12635000,Лиманский район,AST
12640000,Наримановский район,AST
12642000,Приволжский район,AST
12645000,Харабалинский район,AST
12650000,Черноярский район,AST
12701000,городской округ Астрахань,AST
12719000,ЗАТО город Знаменск,AST
14605000,Алексеевский район,BEL
14610000,Белгородский район,BEL
14615000,Борисовский район,BEL
14620000,Валуйский район,BEL
14625000,Вейделевский район,BEL
14630000,Волоконовский район,BEL
14632000,Грайворонский район,BEL
14638000,Ивнянский район,BEL
14640000,Корочанский район,BEL
14641000,Красненский район,BEL
14642000,Красногвардейский район,BEL
14643000,Краснояружский район,BEL
14644000,Новооскольский район,BEL
14646000,Прохоровский район,BEL
14648000,Ракитянский район,BEL
14650000,Ровеньской район,BEL
14654000,Чернянский район,BEL
14656000,Шебекинский район,BEL
14658000,Яковлевский район,BEL
14701000,городской округ Белгород,BEL
14730000,Губкинский городской округ,BEL
14740000,Старооскольский городской округ,BEL
15604000,Брасовский район,BRY
15608000,Брянский район,BRY
15610000,Выгоничский район,BRY
15611000,Гордеевский район,BRY
15612000,Дубровский район,BRY
15616000,Дятьковский район,BRY
15620000,Жирятинский район,BRY
15622000,Жуковский район,BRY
15623000,Злынковский район,BRY
15624000,Карачевский район,BRY
15626000,Клетнянский район,BRY
15628000,Климовский район,BRY
15630000,Клинцовский район,BRY
15632000,Комаричский район,BRY
15634000,Красногорский район,BRY
15636000,Мглинский район,BRY
15638000,Навлинский район,BRY
15640000,Новозыбковский район,BRY
15642000,Погарский район,BRY
15644000,Почепский район,BRY
15646000,Рогнединский район,BRY
15648000,Севский район,BRY
15650000,Стародубский район,BRY
15652000,Суземский район,BRY
15654000,Суражский район,BRY
15656000,Трубчевский район,BRY
15658000,Унечский район,BRY
15701000,Брянск,BRY
15710000,Фокино,BRY
15715000,Клинцы,BRY
15720000,Новозыбков,BRY
15725000,Сельцо,BRY
15728000,Климово,BRY
15750000,городской округ Стародуб,BRY
