Dt1,Dt2,Tid1,Tid2,gender,age,customers_cnt
2016-02-01,2016-02-01,Himki,Metropolis,1,1,4
2016-02-01,2016-02-01,Himki,Metropolis,1,2,29
2016-02-01,2016-02-01,Himki,Metropolis,1,3,8
2016-02-01,2016-02-01,Himki,Metropolis,1,4,4
2016-02-01,2016-02-01,Himki,Metropolis,2,1,4
2016-02-01,2016-02-01,Himki,Metropolis,2,2,23
2016-02-01,2016-02-01,Himki,Metropolis,2,4,8
2016-02-01,2016-02-01,Himki,Shuka,1,2,11
2016-02-01,2016-02-01,Himki,Shuka,2,2,8
2016-02-01,2016-02-01,Himki,Shuka,2,3,4
2016-02-01,2016-02-01,Metropolis,Himki,1,1,4
2016-02-01,2016-02-01,Metropolis,Himki,1,2,29
2016-02-01,2016-02-01,Metropolis,Himki,1,3,8
2016-02-01,2016-02-01,Metropolis,Himki,1,4,4
2016-02-01,2016-02-01,Metropolis,Himki,2,1,4
2016-02-01,2016-02-01,Metropolis,Himki,2,2,23
2016-02-01,2016-02-01,Metropolis,Himki,2,4,8
2016-02-01,2016-02-01,Metropolis,Shuka,1,1,8
2016-02-01,2016-02-01,Metropolis,Shuka,1,2,11
2016-02-01,2016-02-01,Metropolis,Shuka,1,3,8
2016-02-01,2016-02-01,Metropolis,Shuka,2,1,4
2016-02-01,2016-02-01,Metropolis,Shuka,2,2,19
2016-02-01,2016-02-01,Metropolis,Shuka,2,4,8
2016-02-01,2016-02-01,Shuka,Himki,1,2,11
2016-02-01,2016-02-01,Shuka,Himki,2,2,8
2016-02-01,2016-02-01,Shuka,Himki,2,3,4
2016-02-01,2016-02-01,Shuka,Metropolis,1,1,8
2016-02-01,2016-02-01,Shuka,Metropolis,1,2,11
2016-02-01,2016-02-01,Shuka,Metropolis,1,3,8
2016-02-01,2016-02-01,Shuka,Metropolis,2,1,4
2016-02-01,2016-02-01,Shuka,Metropolis,2,2,19
2016-02-01,2016-02-01,Shuka,Metropolis,2,4,8
2016-02-01,2016-02-02,Himki,Metropolis,1,1,4
2016-02-01,2016-02-02,Himki,Metropolis,1,2,8
2016-02-01,2016-02-02,Himki,Metropolis,1,3,15
2016-02-01,2016-02-02,Himki,Metropolis,1,4,4
2016-02-01,2016-02-02,Himki,Metropolis,2,1,8
2016-02-01,2016-02-02,Himki,Metropolis,2,2,15
2016-02-01,2016-02-02,Himki,Metropolis,2,3,4
2016-02-01,2016-02-02,Himki,Metropolis,2,4,8
2016-02-01,2016-02-02,Himki,Shuka,1,2,8
2016-02-01,2016-02-02,Himki,Shuka,1,3,8
2016-02-01,2016-02-02,Himki,Shuka,1,4,4
2016-02-01,2016-02-02,Himki,Shuka,2,2,8
2016-02-01,2016-02-02,Himki,Shuka,2,3,8
2016-02-01,2016-02-02,Himki,Shuka,2,4,4
2016-02-01,2016-02-02,Metropolis,Himki,1,2,19
2016-02-01,2016-02-02,Metropolis,Himki,1,3,4
2016-02-01,2016-02-02,Metropolis,Himki,1,4,4
2016-02-01,2016-02-02,Metropolis,Himki,2,2,23
2016-02-01,2016-02-02,Metropolis,Himki,2,3,14
2016-02-01,2016-02-02,Metropolis,Shuka,1,2,11
2016-02-01,2016-02-02,Metropolis,Shuka,1,4,8
2016-02-01,2016-02-02,Metropolis,Shuka,2,2,19
2016-02-01,2016-02-02,Metropolis,Shuka,2,3,8
2016-02-01,2016-02-02,Metropolis,Shuka,2,4,11
2016-02-01,2016-02-02,Shuka,Himki,1,1,4
2016-02-01,2016-02-02,Shuka,Himki,1,2,8
2016-02-01,2016-02-02,Shuka,Himki,2,2,8
2016-02-01,2016-02-02,Shuka,Himki,2,3,8
2016-02-01,2016-02-02,Shuka,Metropolis,1,1,4
2016-02-01,2016-02-02,Shuka,Metropolis,1,2,4
