dt,hour,tid,gender,age,customers_cnt
2016-02-01,0,Himki,1,1,11
2016-02-01,0,Himki,1,2,22
2016-02-01,0,Himki,1,3,15
2016-02-01,0,Himki,2,2,3
2016-02-01,0,Himki,2,3,15
2016-02-01,0,Metropolis,1,1,19
2016-02-01,0,Metropolis,1,2,34
2016-02-01,0,Metropolis,1,4,15
2016-02-01,0,Metropolis,2,1,4
2016-02-01,0,Metropolis,2,2,7
2016-02-01,0,Metropolis,2,3,4
2016-02-01,0,Metropolis,2,4,4
2016-02-01,0,Shuka,1,2,8
2016-02-01,0,Shuka,2,4,4
2016-02-01,1,Himki,1,1,12
2016-02-01,1,Himki,1,2,26
2016-02-01,1,Himki,1,3,4
2016-02-01,1,Himki,1,4,4
2016-02-01,1,Himki,2,1,4
2016-02-01,1,Himki,2,3,5
2016-02-01,1,Himki,2,4,4
2016-02-01,1,Metropolis,1,1,8
2016-02-01,1,Metropolis,1,2,22
2016-02-01,1,Metropolis,1,3,4
2016-02-01,1,Metropolis,1,4,4
2016-02-01,1,Metropolis,2,1,8
2016-02-01,1,Metropolis,2,2,11
2016-02-01,1,Metropolis,2,3,4
2016-02-01,1,Metropolis,2,4,8
2016-02-01,1,Shuka,1,2,21
2016-02-01,1,Shuka,1,3,8
2016-02-01,1,Shuka,1,4,4
2016-02-01,1,Shuka,2,2,8
2016-02-01,1,Shuka,2,3,15
2016-02-01,2,Himki,1,1,19
2016-02-01,2,Himki,1,2,38
2016-02-01,2,Himki,1,3,4
2016-02-01,2,Himki,1,4,4
2016-02-01,2,Himki,2,2,7
2016-02-01,2,Himki,2,3,11
2016-02-01,2,Himki,2,4,4
2016-02-01,2,Metropolis,1,1,19
2016-02-01,2,Metropolis,1,2,42
2016-02-01,2,Metropolis,1,3,11
2016-02-01,2,Metropolis,1,4,11
2016-02-01,2,Metropolis,2,1,4
2016-02-01,2,Metropolis,2,2,11
2016-02-01,2,Metropolis,2,3,11
2016-02-01,2,Metropolis,2,4,4
2016-02-01,2,Shuka,1,2,19
2016-02-01,2,Shuka,1,3,27
2016-02-01,2,Shuka,1,4,11
2016-02-01,2,Shuka,2,1,4
2016-02-01,2,Shuka,2,2,7
2016-02-01,2,Shuka,2,3,8
2016-02-01,2,Shuka,2,4,4
2016-02-01,3,Himki,1,1,8
2016-02-01,3,Himki,1,2,34
2016-02-01,3,Himki,1,3,19
2016-02-01,3,Himki,1,4,4
2016-02-01,3,Himki,2,1,11
2016-02-01,3,Himki,2,2,4
2016-02-01,3,Himki,2,3,25
2016-02-01,3,Himki,2,4,15
2016-02-01,3,Metropolis,1,1,8
2016-02-01,3,Metropolis,1,2,60
2016-02-01,3,Metropolis,1,3,19
2016-02-01,3,Metropolis,1,4,11
2016-02-01,3,Metropolis,2,1,11
2016-02-01,3,Metropolis,2,2,29
2016-02-01,3,Metropolis,2,3,23
2016-02-01,3,Metropolis,2,4,8
2016-02-01,3,Shuka,1,1,19
2016-02-01,3,Shuka,1,2,96
2016-02-01,3,Shuka,1,3,80
2016-02-01,3,Shuka,1,4,23
2016-02-01,3,Shuka,2,1,4
2016-02-01,3,Shuka,2,2,27
2016-02-01,3,Shuka,2,3,35
2016-02-01,3,Shuka,2,4,23
2016-02-01,4,Himki,1,1,19
2016-02-01,4,Himki,1,2,45
2016-02-01,4,Himki,1,3,23
2016-02-01,4,Himki,1,4,8
2016-02-01,4,Himki,2,1,19
2016-02-01,4,Himki,2,2,38
2016-02-01,4,Himki,2,3,11
2016-02-01,4,Himki,2,4,19
2016-02-01,4,Metropolis,1,1,15
